,name,year,seller_type,owner,km_driven,ex_showroom_price
20140,248,2016,1,0,51007,93025.75
26322,14,2010,0,1,3371,30490.0
20349,166,2003,0,0,34487,41990.0
18874,169,1992,1,0,350,56724.0
22808,245,1993,1,2,350,93025.75
12048,247,2009,0,2,15222,56868.0
3972,19,2012,0,1,350,30490.0
15348,68,2001,0,0,350,93025.75
2033,131,2019,1,1,4452,140973.0
27551,176,2016,1,1,350,126443.0
1013,229,2016,0,2,49055,100114.0
7280,269,2018,1,0,350,73905.0
21264,186,1988,1,2,58275,169592.0
18836,139,1995,1,3,82794,93025.75
16175,234,2002,0,3,12707,93025.75
5218,37,2015,0,2,30854,242452.0
4823,229,2000,1,1,37526,30490.0
25661,95,1990,1,1,79529,93025.75
25236,208,1997,1,0,6674,60018.0
21054,66,1993,1,0,103194,72474.0
25488,225,2000,1,1,49896,93025.75
619,5,2012,0,2,58050,282681.0
27996,254,1989,0,2,119003,93025.75
24221,158,2011,1,0,350,58079.0
16319,61,2012,0,1,26632,30490.0
8124,172,1989,1,2,130946,93025.75
1592,141,1994,1,1,88897,92630.0
26280,123,1993,0,2,126926,60164.0
19709,34,2008,1,0,52878,30490.0
21974,125,1989,1,2,147725,164106.0
13915,131,2008,0,1,47053,71699.0
19795,20,1994,0,3,26265,127485.0
2489,113,2000,0,2,45196,162849.0
21783,76,2007,1,1,350,93025.75
28197,166,2006,1,1,100362,106049.0
28763,34,1993,1,1,81289,61111.0
3718,70,1989,0,2,46739,82126.0
20187,41,2011,1,2,904,93025.75
11285,54,2009,1,1,68462,108540.0
2520,241,1996,1,0,29758,35285.0
6193,187,2009,1,0,350,74589.0
16227,171,1991,0,2,350,93025.75
11422,221,1994,0,1,57406,93025.75
18040,84,2007,0,1,350,114496.0
11726,127,2009,0,1,72909,93025.75
9587,108,2010,1,0,25286,93025.75
13531,191,1996,0,2,9770,73890.0
18644,181,1995,1,0,350,93025.75
20543,77,1999,1,0,47903,93025.75
22634,270,1988,0,3,70107,93025.75
841,92,2015,0,0,350,93025.75
20339,98,2007,1,2,350,84233.0
11879,212,2001,1,2,148680,93025.75
4507,18,2016,1,1,99261,30490.0
4484,124,2004,0,1,63721,30490.0
14673,114,2015,0,1,35170,30490.0
15841,165,2001,0,2,350,38862.0
8738,203,2000,1,2,53774,30490.0
7543,14,2001,1,2,92002,93025.75
26209,49,2007,0,1,26793,93025.75
1593,155,2003,0,2,350,93025.75
27088,109,2010,0,2,17368,153579.0
5203,57,1991,1,1,48752,145596.0
15076,57,2009,1,0,350,93025.75
20511,221,1996,0,3,51013,41691.0
20288,202,2012,1,0,350,86574.0
3023,112,2015,0,1,350,93025.75
26279,264,2014,0,1,6192,66129.0
5169,26,2009,0,3,350,93025.75
23683,273,1993,0,2,88476,62380.0
19576,5,1994,0,2,17317,73684.0
6321,170,2003,1,0,14709,75494.0
20958,48,2005,0,2,128852,93025.75
4103,225,2004,0,2,26669,57992.0
23319,165,1993,1,2,61672,93025.75
17478,221,2008,1,0,29360,130997.0
15282,215,2009,0,2,57581,52870.0
221,133,1996,0,2,71453,93025.75
17008,14,2011,0,3,350,93025.75
24312,140,2015,1,1,12546,30490.0
3002,226,2013,1,1,17746,142798.0
13935,236,1988,1,0,350,120259.0
29668,224,2018,1,0,350,30490.0
21188,132,1990,0,3,111753,82970.0
22821,262,2010,0,1,75403,32879.0
1992,9,2010,1,1,350,30490.0
8071,185,1994,1,2,350,93025.75
14573,248,2000,0,1,61935,93025.75
21762,172,2001,0,1,8545,93025.75
5746,232,1997,1,0,49126,93025.75
1210,75,2014,1,2,42887,93829.0
25573,234,2005,1,0,70304,64740.0
17710,113,1989,0,3,92172,93025.75
21420,145,1994,1,1,98254,93025.75
14162,197,1994,0,2,33147,134393.0
4446,189,1999,0,2,350,100434.0
11914,243,2003,0,0,44754,69800.0
9374,152,2006,1,0,75554,30490.0
12291,277,2000,1,0,93428,93025.75
19474,179,2014,0,2,28740,101399.0
60,185,2018,1,0,33891,75245.0
23112,151,1992,1,0,85773,30490.0
20253,40,2009,0,2,63657,93025.75
14918,207,2007,0,2,31786,93025.75
8524,152,2001,1,3,38303,69742.0
13224,7,2013,0,0,10861,145855.0
22189,5,1990,1,3,36433,99065.0
24688,233,2010,1,1,79527,66789.0
9915,48,1999,1,0,8461,67040.0
7056,15,2011,0,3,22035,93025.75
5174,72,2001,1,0,35853,113707.0
20720,233,1988,1,0,131626,93025.75
29612,135,1993,1,1,1300,80595.0
5025,191,2012,0,1,47134,52391.0
9391,24,2018,1,0,34818,86242.0
1008,77,2016,1,1,55412,30490.0
23043,123,1996,1,0,7753,33709.0
3492,92,2013,0,1,350,30490.0
27174,150,2003,1,1,4140,102207.0
29903,264,2010,1,1,20325,93025.75
27490,52,2001,1,1,350,69422.0
23766,107,1997,1,0,57101,93025.75
9332,243,2016,0,2,350,92567.0
21436,111,2003,0,2,29395,93025.75
29722,224,1988,1,0,128362,30490.0
14677,0,1993,1,3,25159,93025.75
18132,9,1991,1,1,25413,93025.75
3020,219,1997,1,1,157777,93025.75
14515,152,2005,0,1,350,93025.75
766,11,1996,0,2,27823,127279.0
11279,126,1989,0,2,14606,98138.0
21084,225,1992,0,3,30688,93025.75
14970,189,2011,0,3,350,93025.75
7537,73,2020,0,2,350,113749.0
730,67,2001,0,3,77114,93025.75
7994,233,2018,1,0,21238,87984.0
19499,95,1998,1,0,77762,137745.0
19543,121,2002,1,0,96548,149789.0
13622,141,2010,0,2,350,93025.75
16236,92,1999,1,2,1313,101422.0
3047,139,1997,1,0,108068,93025.75
10930,92,2016,0,3,75931,134627.0
9897,210,2018,0,1,81692,112620.0
22574,125,2005,1,0,52376,57872.0
28064,213,1994,0,3,45822,142301.0
23181,237,2015,0,2,553,113171.0
21825,187,2015,1,1,21780,64932.0
27881,209,2001,0,1,13494,93025.75
21635,277,2017,0,2,350,65097.0
6617,278,1999,0,0,350,93025.75
15533,170,2001,0,3,48953,93025.75
4282,16,2015,0,2,63110,93025.75
28321,25,2006,1,0,85330,93025.75
29399,124,2018,1,0,14366,93025.75
6150,127,1998,1,2,132946,93025.75
12126,141,1999,1,1,83763,30490.0
21216,260,2007,1,1,35570,30490.0
7814,48,1990,1,2,76136,68006.0
27780,103,2019,0,2,350,48197.0
13065,157,2008,0,3,17710,93025.75
13115,241,2002,0,1,350,93025.75
29609,187,1994,0,3,34401,108260.0
25853,225,2018,0,3,107187,93025.75
15422,44,1988,1,1,58778,30490.0
3431,97,2008,1,1,77157,91688.0
12573,262,2013,1,2,82830,87521.0
17261,78,1990,1,0,79478,93025.75
1996,251,2004,0,2,8142,93025.75
25974,229,1993,1,1,95617,35823.0
29027,192,2004,1,0,49268,93025.75
12133,40,2000,1,0,56043,89418.0
23886,32,1998,0,2,17726,121300.0
2241,33,1995,1,2,12533,93025.75
19155,187,2019,1,2,350,210869.0
13763,146,2001,1,0,350,113003.0
26027,224,1993,1,0,68775,93025.75
24059,60,2019,1,0,16530,93025.75
14915,95,2003,0,3,76819,30490.0
15720,158,2019,0,2,66837,79658.0
26087,130,2006,0,3,350,45092.0
393,198,2018,1,3,350,93025.75
503,6,1992,1,0,71937,53689.0
19730,89,2002,0,2,350,93025.75
29904,62,2000,1,1,79745,93025.75
6248,97,2010,1,1,48992,30490.0
11923,69,2007,0,2,29560,93025.75
29231,37,2015,1,0,350,130446.0
16949,57,2013,0,3,20276,98831.0
17794,130,2002,1,2,23508,93025.75
24288,152,2012,1,0,124176,128260.0
6910,3,1999,1,1,4045,30490.0
22561,218,2019,1,0,350,93025.75
11873,213,1998,1,1,86721,52393.0
312,167,1993,0,3,35076,93025.75
15314,51,1999,1,1,125946,76493.0
18712,153,2017,0,1,19630,117012.0
16330,195,1994,0,3,22466,32674.0
6944,271,1993,1,1,63914,30490.0
5888,83,2016,1,0,2961,81834.0
1357,60,2008,0,1,55765,93025.75
3259,52,2012,1,0,95002,116572.0
24996,146,1988,1,0,23591,93025.75
2870,200,2005,1,1,103848,170656.0
4057,160,2002,1,0,38099,80609.0
11855,213,2011,1,2,55603,172940.0
20151,136,2007,0,2,24994,30490.0
21949,191,1989,1,2,52178,93025.75
27133,183,2019,0,1,44038,93025.75
8637,69,1991,1,2,65919,41922.0
26192,20,2019,1,0,350,61537.0
17787,47,1990,0,2,350,93025.75
18310,241,2004,0,0,350,93025.75
8867,41,1993,1,1,112168,30490.0
1079,188,2008,0,3,31876,78276.0
16217,73,2009,0,0,350,93025.75
11831,1,1991,0,2,82815,30490.0
24746,91,2007,1,1,350,93025.75
12544,177,1988,1,1,44062,93025.75
22678,91,1995,1,0,103172,117973.0
11000,250,2009,1,1,350,93025.75
22819,112,1998,0,2,37033,93025.75
9131,70,2002,0,2,350,207247.0
16461,29,2003,1,0,350,93025.75
676,43,1999,1,0,41143,136453.0
324,265,1988,0,3,82662,93025.75
23223,149,2005,0,0,58999,93025.75
5278,115,2002,0,2,89265,93025.75
16453,31,1993,0,2,93654,30490.0
28609,195,2010,0,3,350,178601.0
25603,195,1995,1,1,34616,62837.0
24104,243,1998,0,2,350,30490.0
663,88,2003,0,3,38775,81002.0
13981,109,2015,1,0,350,93025.75
5551,219,2016,1,0,859,48202.0
20374,190,1993,0,2,47777,97133.0
6663,226,2017,0,2,7790,111856.0
15677,69,2017,0,2,350,98218.0
4808,78,2002,1,0,350,93025.75
8779,237,2015,1,0,67141,93025.75
18664,184,2004,1,0,28981,30490.0
1568,23,1994,1,1,60512,93025.75
12288,276,2004,1,1,11387,71337.0
18940,92,2019,1,1,17808,161571.0
15288,51,2002,0,2,51872,98991.0
26470,260,1992,1,0,350,93025.75
10353,25,2020,1,0,350,66315.0
22697,18,2016,1,0,350,84531.0
12878,54,1995,1,0,350,101734.0
15779,74,2013,0,1,350,93025.75
2288,211,2018,0,0,26315,93025.75
17113,181,2010,0,2,1956,30490.0
10683,187,2002,0,0,110064,57835.0
2528,123,2001,0,1,85207,93025.75
4046,197,1995,1,1,13270,93025.75
9346,36,2017,1,1,56141,65230.0
6323,240,2003,1,1,3143,30490.0
17670,102,2004,1,0,94185,93025.75
18554,197,1994,0,1,100029,93494.0
21595,85,1995,1,0,92168,30490.0
23909,227,2009,0,2,350,93025.75
3866,56,2002,1,2,89111,97021.0
19510,151,1998,1,1,67097,93025.75
5379,96,1993,1,0,39994,30490.0
24537,192,2018,1,0,350,129933.0
15813,236,2019,1,1,58823,30490.0
19003,189,2017,1,0,73277,99550.0
21578,34,1997,0,3,30854,75720.0
23741,185,2018,1,0,37893,93025.75
9552,25,2019,0,2,37869,93025.75
12996,255,2007,1,1,32519,93025.75
8213,228,2005,1,0,13413,155759.0
125,116,1992,0,3,116003,127857.0
12338,269,2001,0,1,87948,93025.75
14052,134,2005,0,2,10846,69840.0
3634,5,2006,0,0,350,53129.0
24496,269,2018,1,0,3556,30490.0
14690,209,2015,1,0,36234,93025.75
10774,150,1992,0,1,140608,66776.0
25107,256,1997,0,2,97995,93025.75
20714,51,2008,0,2,350,93025.75
3173,234,2002,1,2,350,93025.75
23361,238,2018,1,0,538,116709.0
641,211,1994,0,3,53651,133013.0
25750,179,1993,1,2,91555,93025.75
13208,233,2013,0,0,350,151836.0
29530,22,2010,0,1,15162,84483.0
10418,7,1990,1,0,62381,93025.75
6740,92,2012,0,3,62009,51866.0
443,62,1999,0,2,128385,93025.75
27678,97,2005,1,0,57690,93025.75
17364,90,2009,0,3,350,93441.0
24240,267,1999,1,0,350,93025.75
21809,182,2016,0,2,49840,93025.75
6745,54,2002,0,3,39562,30490.0
10512,108,1993,1,0,69388,93025.75
2971,227,2012,0,1,22555,93025.75
28918,150,1993,1,2,32158,74176.0
15752,247,2008,1,2,67099,151863.0
14646,270,1988,1,0,35965,93169.0
16117,223,2007,1,2,350,93025.75
17391,175,1999,1,0,27558,93025.75
6422,109,1992,0,2,119439,145395.0
8755,195,2013,1,0,41521,93025.75
23710,272,1998,1,2,33546,30490.0
6455,186,2005,1,1,53513,93025.75
507,265,1993,0,2,18493,81634.0
1621,205,1996,1,1,50636,62819.0
22722,241,1991,0,2,41861,93025.75
25361,251,2016,0,2,10640,93025.75
5492,86,2005,1,1,350,93025.75
22903,158,2015,1,0,53543,74822.0
10916,246,2009,1,2,350,143229.0
12202,26,2001,1,0,8679,73811.0
3208,156,2001,0,2,33443,142903.0
4915,86,1999,1,0,61205,54023.0
4467,135,2010,1,0,42421,93025.75
24558,232,1993,1,0,51169,44449.0
8065,241,2002,1,0,29081,80588.0
12207,254,1993,1,1,65428,35603.0
29905,141,2018,0,2,12176,59766.0
12646,14,2011,0,2,99042,189205.0
25466,113,1989,0,2,61227,30490.0
3526,173,2018,0,2,350,69113.0
24841,117,2005,1,2,46162,93025.75
12749,7,2019,1,0,350,93025.75
22790,2,2014,0,2,350,30490.0
9692,253,2002,0,3,63894,73244.0
2908,97,2010,1,1,12683,93025.75
24447,136,2002,1,1,350,130954.0
21510,249,2017,0,2,113878,172216.0
18253,78,2011,1,0,9928,30490.0
25403,34,2002,1,0,350,30490.0
10834,214,2006,1,0,41768,38645.0
10204,221,1998,1,0,24173,93025.75
4595,181,1989,1,2,44077,99020.0
28222,49,1999,1,2,96165,86781.0
624,257,1993,1,0,27093,100472.0
17472,38,1989,1,0,108341,115909.0
11859,173,2001,0,1,55199,261885.0
17218,2,2019,0,1,3607,93025.75
27520,158,2020,0,2,350,128219.0
22711,202,2010,0,1,350,93025.75
16377,101,1997,1,0,81229,45511.0
25757,70,2000,1,1,58175,75026.0
2735,33,1998,1,0,120165,93025.75
25727,210,2010,0,1,76397,93025.75
27695,239,2019,0,2,25026,146152.0
1102,52,2001,1,0,78309,116604.0
10450,273,2004,1,1,87042,105808.0
25629,238,2000,1,0,51366,135634.0
9308,118,2018,0,1,350,93025.75
24719,152,2019,0,0,59351,41661.0
12245,51,2003,1,0,23819,68710.0
5361,222,1997,0,3,38663,78194.0
23148,25,1999,0,3,42529,128315.0
22139,41,1997,1,1,48096,191300.0
21326,20,2006,1,0,350,143437.0
4819,54,2000,0,1,10400,256887.0
10487,197,2014,1,0,52090,74818.0
216,258,2001,1,0,350,123969.0
21728,213,2010,0,2,120315,30490.0
29499,261,2014,0,2,350,136626.0
3682,266,2019,1,1,49578,93025.75
6768,73,1998,1,2,350,82029.0
5532,15,1990,0,3,43143,93025.75
22309,1,2001,0,1,67214,30490.0
18238,15,1996,1,0,96575,93025.75
1103,212,2009,1,2,91035,93025.75
4929,48,2017,0,0,20163,116834.0
61,59,2005,1,3,79611,93025.75
21258,246,2001,1,0,6803,93025.75
4821,96,2016,0,1,4183,107670.0
1649,248,1994,0,1,119273,199900.0
10541,178,1994,1,1,15522,70125.0
459,50,2007,0,0,350,111328.0
12632,18,2001,1,0,82042,93025.75
28093,10,2008,0,1,62737,93025.75
3018,50,1990,0,1,99480,71074.0
17704,13,1996,1,1,81356,38801.0
10646,14,2004,1,0,67620,93025.75
27346,46,1997,1,1,350,111566.0
6580,124,2016,0,3,350,93025.75
22415,271,2009,1,0,36087,93025.75
13970,20,2008,0,1,12372,223149.0
1915,136,2017,0,2,27073,89073.0
14789,25,2003,0,2,350,93025.75
4692,74,2016,1,2,350,93025.75
16845,56,2016,1,0,26632,129527.0
14354,248,1995,1,0,64296,142908.0
16356,47,2011,0,1,40650,163934.0
3344,267,2007,1,1,3983,30490.0
5043,19,1994,1,0,47837,144684.0
829,56,2016,0,3,350,93025.75
17969,54,2018,0,3,37713,93025.75
28973,222,1999,0,2,7082,59537.0
8028,219,2005,1,0,96885,106209.0
24868,47,1996,1,2,49804,93025.75
16255,121,2011,0,0,2028,54428.0
26726,94,2017,1,0,350,147239.0
6450,121,1997,0,2,47180,93025.75
1880,229,2002,0,2,85835,93025.75
9285,273,1990,0,0,134237,75101.0
17064,184,1990,1,2,52065,57259.0
26338,218,2003,0,2,350,93025.75
15556,17,1992,1,1,18005,163083.0
11865,12,2001,1,1,350,154192.0
19546,247,2017,1,1,350,149802.0
15697,112,2006,0,2,59050,171236.0
16248,178,2009,0,2,79097,93025.75
1302,159,2015,1,1,55202,92545.0
5590,162,1998,1,2,350,94040.0
29059,177,1995,0,1,101885,151417.0
11741,275,2004,0,1,5761,44686.0
25561,194,2007,0,3,350,93143.0
10233,139,2000,1,1,350,93025.75
6986,180,2013,1,0,56118,93025.75
28458,48,2001,1,1,60564,30490.0
23250,234,2018,1,1,350,195373.0
20158,226,1992,1,1,126953,93025.75
20018,109,1997,0,2,21008,183199.0
664,241,2019,0,3,65955,122753.0
12164,3,1993,0,1,44777,93025.75
15496,267,2003,1,1,27860,30490.0
20996,167,1995,1,1,4726,149805.0
3505,125,2005,1,0,350,93025.75
3856,150,1994,1,1,113991,30490.0
16113,114,2012,1,2,350,161733.0
23132,267,2004,0,2,350,93025.75
4401,161,2009,1,0,21762,90982.0
29907,248,2013,0,2,22208,30490.0
27395,138,2015,0,3,22395,169275.0
27424,66,1989,0,1,84836,185509.0
5739,171,1992,1,1,93641,73009.0
16414,36,1995,1,1,13410,93025.75
10755,221,2007,1,2,47359,93025.75
17970,58,1992,1,2,99649,88292.0
29846,254,1994,1,1,141311,93025.75
9082,191,2017,1,1,75304,30490.0
22928,254,2005,0,1,27372,155037.0
5264,177,1999,1,2,54157,93025.75
1981,158,2002,1,0,43254,93025.75
7405,270,1995,0,1,36726,93025.75
16006,269,2001,1,0,59948,30490.0
19086,1,1989,1,1,100553,93025.75
19982,215,2019,0,2,46124,164073.0
13344,255,2003,0,0,350,46595.0
6639,235,2009,0,2,350,113546.0
7307,147,2018,1,0,44857,93025.75
18883,129,2016,1,1,7841,93025.75
8902,92,2018,1,0,350,127778.0
321,24,2010,0,1,84323,30490.0
10529,87,2007,1,1,350,136188.0
17714,224,2018,0,1,350,59323.0
14449,73,2017,0,1,350,93025.75
21542,214,1998,1,0,101627,30490.0
3294,247,2001,1,2,9691,55993.0
29140,151,2015,0,1,350,101853.0
4761,156,2019,0,3,6888,93025.75
20884,29,1989,0,2,93828,106028.0
21570,87,2002,0,3,63739,93025.75
17497,259,1993,1,1,350,74869.0
7367,25,2002,0,1,70171,93025.75
10131,1,2011,0,3,32350,92524.0
22666,256,2008,0,1,23734,93025.75
12485,132,2009,0,0,17323,93025.75
10758,163,1998,0,2,59866,71211.0
4685,144,1992,1,0,69660,93025.75
23862,239,2007,1,0,45898,173170.0
28293,228,1995,0,2,75587,30490.0
2942,219,2009,1,2,26901,93025.75
22369,9,2020,1,0,9594,93025.75
26663,136,2006,1,0,12001,93025.75
19272,177,2007,1,0,350,93025.75
14304,266,1997,1,0,44753,115082.0
17120,0,1991,0,2,42954,76807.0
22054,114,2014,1,0,350,118701.0
3151,17,2010,0,1,24289,122915.0
23146,156,1990,1,1,105601,58584.0
15309,224,2009,1,0,87994,126252.0
10725,124,1997,0,2,60081,93025.75
7720,249,2010,1,0,128252,43371.0
3146,203,2012,0,0,62294,89574.0
8787,252,2001,0,2,48822,76430.0
9997,97,1990,1,0,34255,93025.75
17799,242,2016,0,3,350,138424.0
23359,182,1996,1,1,69087,60585.0
8,184,2016,0,0,350,52683.0
17238,88,1994,1,1,20564,93025.75
19831,66,1993,1,0,70125,102823.0
1429,105,1999,1,0,108699,93025.75
22024,94,1992,0,1,47004,93025.75
19757,140,2018,0,2,350,93025.75
15501,81,2007,0,2,17425,92575.0
14837,90,2010,0,3,350,93025.75
4694,35,2012,1,2,129707,30490.0
11527,82,1995,1,1,83932,93025.75
13024,99,2017,1,0,350,93025.75
14587,248,2013,1,1,15175,144748.0
6856,143,1995,0,2,34652,93025.75
7497,119,1999,1,0,350,121221.0
4013,190,2010,0,2,350,30490.0
5760,124,2009,1,1,62616,30490.0
3864,77,2004,1,0,53320,207411.0
15909,137,2000,0,2,75813,30490.0
11083,161,2000,0,2,350,107386.0
26256,176,2010,1,0,84859,169904.0
18368,102,2017,1,0,51879,93025.75
23141,253,2013,0,3,2206,93025.75
21086,166,2003,1,1,111972,36978.0
9866,121,2008,1,0,350,30490.0
27675,50,2019,1,0,51387,93025.75
28507,275,2013,1,0,350,93025.75
3102,160,2001,1,1,50252,93025.75
1943,18,1999,1,0,81435,93025.75
28168,71,2015,0,1,108208,93025.75
743,131,2017,0,2,8278,145146.0
16611,15,2015,1,2,28934,93025.75
25946,185,2018,1,0,350,162821.0
10364,253,2015,0,2,350,211628.0
29071,269,1997,1,1,350,93025.75
12052,77,1999,0,2,350,143843.0
14271,87,2006,1,0,350,57169.0
7686,273,1995,1,0,79811,93025.75
4136,51,1997,1,0,9699,129724.0
9383,9,2014,0,2,350,83247.0
23688,84,2001,0,1,45484,93025.75
12985,165,2000,1,2,120439,94534.0
153,207,1989,0,2,66225,30490.0
15441,252,2007,1,1,350,93025.75
25956,142,2014,1,1,23712,93025.75
9492,95,2011,1,1,102869,30490.0
29926,258,2006,1,0,25197,93025.75
26226,186,1995,0,1,53873,121939.0
14448,131,2015,0,2,48859,45708.0
22518,141,1992,1,2,23042,134194.0
21848,269,2010,1,3,350,93025.75
13486,254,2018,1,0,63272,93025.75
26961,194,2002,1,0,25069,30490.0
2474,19,1995,0,1,7210,93025.75
19470,32,2002,0,2,13343,78589.0
27345,172,1988,1,0,350,76167.0
6313,169,1989,1,0,87781,46505.0
16774,213,1999,0,2,18227,147283.0
17728,278,1994,0,1,96205,93025.75
9122,229,2017,1,1,350,93025.75
3879,235,1990,1,0,53081,93025.75
7322,249,2011,0,1,40023,62432.0
11511,94,2011,1,1,40983,124620.0
28636,15,1995,0,3,97406,130832.0
20252,50,2019,1,0,350,93025.75
20795,251,2013,1,0,13755,142269.0
19327,210,2018,0,2,350,93025.75
