,selling_price
21762,40424
5746,33809
1210,126048
25573,61387
17710,82870
21420,22248
14162,7508
4446,64012
11914,91123
9374,5000
12291,84903
19474,146884
60,38432
23112,5000
20253,28317
14918,79146
8524,103419
13224,108028
22189,5000
24688,79238
9915,27722
7056,5000
5174,107364
20720,5000
29612,52172
5025,5000
9391,63696
1008,85606
23043,9160
3492,5000
27174,63217
29903,79989
27490,51219
23766,38515
9332,79988
21436,5000
29722,5000
14677,82262
18132,41994
3020,5000
14515,138689
766,5000
11279,25316
21084,5000
14970,49970
7537,182848
730,65861
7994,78131
19499,94033
19543,39158
13622,93194
16236,68896
3047,5000
10930,104428
9897,88578
22574,51151
28064,94761
23181,14351
21825,93748
27881,78063
21635,37328
6617,102823
15533,48393
4282,149420
28321,92729
29399,67487
6150,64226
12126,5000
21216,5000
7814,44036
27780,88006
13065,20053
13115,98144
29609,113043
25853,84131
15422,5000
3431,23404
12573,105031
17261,19233
1996,125958
25974,5000
29027,18480
12133,76720
23886,15584
2241,43143
19155,216604
13763,65704
26027,15933
24059,69555
14915,5000
15720,133959
26087,7884
393,126046
503,29445
19730,113226
29904,51958
6248,13275
11923,86224
29231,152431
16949,98833
17794,155244
24288,109449
6910,5000
22561,61830
11873,5000
312,11553
15314,5000
18712,152171
16330,5000
6944,5000
5888,121628
1357,112278
3259,94403
24996,77105
2870,91500
4057,48000
11855,129229
20151,5000
21949,5000
27133,99467
8637,5000
26192,78910
17787,5000
18310,87138
8867,5000
1079,28717
16217,87177
11831,5000
24746,58813
12544,31369
22678,73221
11000,107416
22819,5000
9131,116946
16461,112744
676,86141
324,33163
23223,5000
5278,70597
16453,5000
28609,85718
25603,68575
24104,5000
663,84129
13981,74979
5551,44289
20374,36725
6663,87861
15677,125414
4808,40430
8779,131746
18664,5000
1568,95004
12288,117282
18940,177637
15288,99495
26470,34590
10353,94779
22697,122908
12878,106321
15779,17469
2288,78663
17113,5000
10683,65916
2528,126257
4046,119785
9346,87298
6323,5000
17670,16264
18554,50453
21595,5000
23909,179233
3866,58204
19510,104127
5379,5000
24537,180203
15813,56775
19003,113846
21578,45522
23741,161198
9552,148154
12996,14122
8213,115449
125,36682
12338,85648
14052,5000
3634,70147
24496,5096
14690,83269
10774,12210
25107,112443
20714,142985
3173,123164
23361,184871
641,70228
25750,7884
13208,97732
29530,81820
10418,23006
6740,5000
443,43397
27678,5000
17364,40018
24240,108751
21809,128298
6745,50321
10512,21006
2971,135338
28918,82205
15752,116373
14646,5000
16117,114352
17391,94629
6422,95994
8755,7314
23710,5000
6455,5000
507,64638
1621,23937
22722,5000
25361,86595
5492,127809
22903,138491
10916,110341
12202,46740
3208,100703
4915,9077
4467,67162
24558,5000
8065,52762
12207,31282
29905,92140
12646,129129
25466,5000
3526,83999
24841,56745
12749,52553
22790,26990
9692,5000
2908,5000
24447,143465
21510,113351
18253,5000
25403,5000
10834,10983
10204,5000
4595,87531
28222,100650
624,54643
17472,13700
11859,87539
17218,158534
27520,171237
22711,44862
16377,5000
25757,51396
2735,52750
25727,28025
27695,169383
1102,51193
10450,24817
25629,40876
9308,63098
24719,80682
12245,64256
5361,5000
23148,85407
22139,77797
21326,91112
4819,126698
10487,68459
216,140594
21728,5000
29499,114220
3682,124835
6768,83330
5532,72035
22309,5000
18238,108006
1103,5000
4929,121207
61,114309
21258,5000
4821,79600
1649,86576
10541,42795
459,55170
12632,29615
28093,89792
3018,26616
17704,62741
10646,5000
27346,81810
6580,83761
22415,48616
13970,134917
1915,98199
14789,186985
4692,36389
16845,90464
14354,26350
16356,115377
3344,60545
5043,125528
829,111534
17969,134121
28973,5000
8028,92583
24868,42729
16255,39074
26726,197229
6450,7413
1880,54034
9285,5000
17064,37975
26338,74669
15556,106738
11865,92307
19546,166101
15697,65429
16248,19154
1302,44555
5590,94584
29059,132076
11741,89424
25561,81178
10233,39342
6986,128027
28458,11368
23250,136799
20158,5000
20018,107660
664,71910
12164,5000
15496,42809
20996,43273
3505,133938
3856,5000
16113,121890
23132,5000
4401,83113
29907,27587
27395,124031
27424,5000
5739,21581
16414,19367
10755,89644
17970,44293
29846,58404
9082,58917
22928,102337
5264,29678
1981,5000
7405,15225
16006,21837
19086,5000
19982,123149
13344,74343
6639,90351
7307,48567
18883,97758
8902,166365
321,50310
10529,66842
17714,62812
14449,120015
21542,23184
3294,45202
29140,57811
4761,248381
20884,17471
21570,82903
17497,31590
7367,126411
10131,54311
22666,119289
12485,32690
10758,72655
4685,39288
23862,142639
28293,5000
2942,32157
22369,142921
26663,5000
19272,179394
14304,64271
17120,26089
22054,99677
3151,67716
23146,5000
15309,93218
10725,5000
7720,24490
3146,5000
8787,62131
9997,5000
17799,172491
23359,45466
8,82436
17238,49895
19831,29578
1429,27181
22024,9871
19757,43493
15501,52995
14837,100879
4694,5000
11527,81776
13024,109523
14587,77308
6856,30906
7497,92170
4013,47917
5760,5000
3864,125604
15909,5000
11083,52093
26256,116929
18368,20081
23141,114752
21086,5000
9866,57096
27675,73688
28507,7341
3102,86989
1943,13216
28168,54969
743,174632
16611,38731
25946,99247
10364,222800
29071,32446
12052,51072
14271,56221
7686,55704
4136,90327
9383,105074
23688,97535
12985,48799
153,5000
15441,91122
25956,75936
9492,33165
29926,41667
26226,55907
14448,81776
22518,31899
21848,55373
13486,19202
26961,15693
2474,69020
19470,91772
27345,5000
6313,5000
16774,86122
17728,57046
9122,172162
3879,19378
7322,50356
11511,124470
28636,21953
20252,108025
20795,102744
19327,126337
15093,67686
17308,13644
27951,10177
22007,5000
7539,92353
29715,24442
5339,5000
18702,40973
23975,191338
29581,88444
11827,5000
2461,112701
12697,54658
20776,40568
18174,132048
8724,63754
11653,50374
6244,49255
1150,5000
27759,90227
22964,84937
15446,8648
13741,37642
733,53552
26839,64869
11606,29860
22491,60357
3062,32225
27817,44599
25264,34263
11533,125079
14221,91772
17168,34111
21709,156847
12783,108031
13362,48851
8077,70345
24594,5000
28771,5000
22226,102930
1242,5000
21338,87248
21706,73542
9126,41855
15535,48557
18522,25507
12069,109090
14745,38347
121,5000
29274,5000
28475,88822
15808,109030
13338,108320
21948,39080
27371,119714
405,5000
15916,55572
28786,170324
9408,40172
14351,157885
10777,159741
20375,51681
18859,47937
8319,55599
27328,107091
2904,127114
18584,91214
10191,5000
27364,43914
8964,67339
16886,5000
16481,106678
14709,84506
9485,69931
15142,83370
29980,11088
14268,85156
29700,70636
27854,51327
17643,101256
13063,5000
5105,151504
2253,28487
24604,58257
10371,16345
11961,11762
6641,85891
2133,38068
261,27913
20817,133735
26270,84186
26484,105923
25271,17554
3992,5000
24158,68906
8706,5000
27296,98653
13954,19576
25525,123236
18988,5000
29097,47724
19520,106839
13777,47146
14318,162679
11695,5000
11140,161067
18914,83468
16574,156392
7272,78999
20138,34187
8676,114858
20708,5500
27307,31051
14032,127852
18211,64840
4166,5000
10853,61204
14778,100469
28213,177351
25689,12987
15095,128879
24339,13962
27843,107272
9835,88133
23712,79301
9761,125807
11792,94473
13019,109254
24707,38405
19922,140718
20001,35910
11758,50898
21628,90148
10536,21583
7054,5000
369,73332
17991,129468
14772,77946
11277,151824
22088,55392
16354,58605
16893,71848
2391,134365
18178,5000
254,65508
15072,93856
20556,37648
21224,53293
24722,108280
6002,5000
7301,110086
9454,54374
23298,117446
20718,46970
23714,5000
2791,120138
29478,5000
24636,5000
10124,53201
29704,52971
12922,82274
19944,5000
14796,22151
29222,125146
28239,11766
17437,24274
16924,25473
5619,5000
8795,119653
29808,22518
9138,5000
3522,98615
17543,5000
26879,172440
32,5000
8238,186153
12251,55477
6147,54402
568,5000
22920,83261
25437,5000
19962,90609
20387,107410
9439,95472
24479,14407
22673,85933
15691,14402
14813,117462
28855,23923
9875,107918
5753,87240
2739,101357
6162,5000
2503,38990
1024,131064
13318,77161
13528,24864
23481,66713
5370,18517
22221,132062
4636,47627
6537,40915
23621,37787
27923,5000
29786,122941
12062,41053
5408,5000
4204,12892
5129,47378
8017,11511
1640,58088
27082,124739
24575,5000
5219,106182
10207,21036
4999,55174
4027,42035
22958,5061
27461,79978
7084,29594
16659,93102
29168,76992
28844,68964
11331,144183
14887,99759
20706,72200
1426,7686
14315,43995
20146,24903
9153,65911
14117,5000
13977,107974
18120,57226
8221,5000
5356,5000
12249,133371
25783,38475
8037,104273
24765,66623
29061,5000
11548,55048
7556,133567
15216,61857
26263,40873
22662,5000
19108,30000
23969,28984
13132,5390
9258,126038
1076,133027
13339,5000
22300,123519
4076,102035
27671,65744
4423,24663
20468,5000
21586,128749
26603,167739
16826,64538
5898,82591
3460,46714
14540,110759
8925,5000
24641,5000
1060,7591
19353,5000
204,53838
2884,42491
29096,83695
27961,9017
18978,87548
12712,175043
774,18201
5528,5000
27455,9927
11008,201463
18536,75928
17480,83652
7364,59026
16493,57854
22118,5000
17665,16793
13235,5000
26157,67173
24541,81988
16640,15153
25628,76096
16917,105444
2468,5760
19623,128201
11539,62440
5368,5000
8645,55510
4664,7452
20211,26627
2349,90182
23354,36857
24922,5000
23629,116412
12,151432
25801,101589
9484,110050
11299,67295
8035,37116
9550,98676
26476,58148
672,142676
17361,100900
5126,5000
22009,87689
23105,5000
21057,55132
11881,92103
15055,51028
11486,207113
21662,150379
861,86175
3618,57137
29326,38233
21505,30253
8191,76762
7972,23631
27073,5000
21141,94183
5857,6152
17809,62565
21766,99620
1957,93452
10819,140527
18041,80971
2187,88102
4239,96814
15562,9813
2105,106043
29122,17890
10045,5000
975,5260
11650,5000
15579,10609
14910,41362
24179,5000
28148,63489
23397,155380
22323,74698
19904,94836
4546,152223
26579,46843
15031,76413
26542,51289
22902,192178
5828,72914
24763,153753
21821,190679
2515,54004
9689,5000
1250,5000
22405,15174
29746,155841
25817,22634
28107,84289
22862,5000
2657,137768
14551,51792
748,5000
4386,80120
15659,38453
23589,119322
21992,19819
23049,117415
23986,97182
15597,5000
21591,23640
21751,15582
10626,34383
16380,5000
24380,39681
10976,33920
21409,76495
424,99284
4866,21519
18829,5000
19945,5000
14003,84052
22875,68130
18975,61724
12159,9177
23371,120866
29983,62547
9721,47893
15038,48274
8626,5000
7778,5000
18422,113396
15483,155889
7944,17263
20606,146613
8150,51333
18600,14036
1505,93624
12856,28466
22395,104353
16538,76991
4024,44494
8858,121429
1382,63529
19492,5000
28869,103824
15044,107273
28007,19321
3121,13577
18569,65588
5506,79896
12436,100483
26831,57340
23900,23616
5036,84966
9351,96620
7540,106655
2919,5000
5617,94935
410,5000
3070,70486
18979,33203
18428,98795
17017,70961
27078,5000
1702,56519
25459,5000
26296,42332
4297,138762
24918,125321
140,72469
20026,152762
17177,5000
21087,120864
15336,56823
8108,5000
22600,65121
29363,91445
28403,66344
22037,107526
17757,147475
4041,94407
23633,5089
9490,18290
6633,156032
15900,72983
9945,57967
15547,20004
24259,32286
23851,82765
13181,5000
952,94781
3471,51494
17273,86318
20552,90415
28460,193815
11242,5000
9190,39249
13347,87084
10919,37683
28334,62800
27269,5000
4011,171244
5640,69864
25098,51859
1289,109459
6389,5000
7136,87398
28691,44182
6098,8016
7402,52823
752,90545
2057,127300
19300,144154
15146,114205
11598,127699
12147,103189
14555,120175
292,91566
25283,82723
28298,62806
20697,104280
8785,27913
27825,5000
19616,98625
1334,126934
24203,110589
6634,41075
21733,69704
4326,61935
23209,67971
18638,164373
1490,5000
29513,52418
6308,201229
22576,58406
18657,47318
11173,32035
18397,77955
22839,83973
22944,59457
33,35352
23114,81290
3660,89380
19011,119772
3183,55353
10234,31306
24985,87716
27159,76859
25865,111968
24441,38593
944,81810
13510,136368
23113,118258
26580,126713
19567,69546
14242,73690
3611,85104
29105,44770
4309,98206
5490,5000
5625,6601
7538,32877
15658,40455
29230,171915
11945,92663
15030,5000
26646,14874
13550,13943
16660,113280
13738,112681
18462,184303
2021,43605
2227,62253
8690,5000
5507,5000
28987,21246
27912,131533
6017,76832
3281,22353
10392,160528
22721,83169
11942,5000
13201,80613
2043,124760
26249,6874
5547,41349
4337,13518
16260,40554
14288,5679
7598,56361
21145,93338
11971,154018
14186,68865
5269,70143
26126,71850
27579,134528
19849,39470
3269,108467
27744,105472
21539,118156
2531,83975
19016,5000
5818,20463
13658,5000
407,22044
1886,48847
21274,12143
23636,5000
19568,73186
16929,5000
12940,5000
7437,23027
15877,9494
994,5000
7201,43154
5125,71990
20565,57717
13597,62264
11803,110444
29414,113380
12002,5000
10507,39576
2929,82557
19144,62181
4424,104982
29505,26822
7843,77830
226,141956
27288,5000
12592,124965
15034,88526
1100,93928
28816,5000
15760,21752
25033,5000
19100,98834
11289,49960
26682,59955
9233,5000
18317,5000
15775,53604
2252,132647
18330,65035
5589,59613
9806,80525
14277,96957
20414,57639
10331,31103
28932,25931
12277,53226
21059,5000
20301,20648
29641,60482
27019,71643
16365,105766
1855,95402
2553,113970
13523,62295
15051,55086
17835,62885
19210,5000
25290,49022
29636,89856
26988,113714
7871,5000
10920,107908
24145,5000
3198,5000
12744,99913
15968,36308
6073,25356
554,40040
26349,5000
11767,106113
7824,56283
2192,56639
29803,62962
3299,65030
29475,104150
23849,33376
4488,21222
3667,63261
5979,29386
10762,5000
23899,38500
576,87678
20734,93808
13118,108740
18995,115588
20037,71692
8851,134036
17780,83373
29523,61044
3793,63115
28720,117299
4907,91380
2724,37236
7321,60334
10573,5000
9668,35215
28940,5000
12599,15760
19869,5000
20283,59662
21616,83949
14433,49679
20793,71950
3132,39663
14965,120518
25117,72536
20524,5000
6704,39676
6471,5000
18548,33525
25751,120905
1534,33209
9213,28216
27600,43167
17654,156247
8885,39971
5564,99618
6928,67113
6820,84667
19385,5000
29091,106914
340,77237
27313,159245
4159,30767
14320,51832
25719,99037
14391,5000
11911,103470
257,5000
7605,19240
17797,85171
28242,124756
28374,75332
24695,5000
27372,36414
26858,21019
22358,13318
23297,5000
28532,50868
27031,72872
11808,133577
5605,5000
23715,7419
24154,97021
16933,57771
24491,135085
25226,5000
26284,94096
6884,61698
5973,119193
27470,88176
23389,5000
51,36544
20046,94765
27217,87270
7584,5000
4359,5000
24634,21841
1598,60321
28972,34617
2750,89375
29128,11363
24143,184487
15395,143590
23268,86274
17489,28029
878,150878
28500,5000
22167,64522
12614,27922
16497,180597
8577,71585
8166,5000
7138,55687
437,63653
24584,48511
6541,129395
6010,68464
15307,120848
9154,114261
24994,52161
12105,68563
2550,72181
22956,168317
11358,18338
16755,70798
5920,60671
28737,5000
25421,110519
54,8660
24397,97170
15431,5000
9959,150996
27634,167900
23188,5000
9764,169373
4504,17484
16348,5000
2610,49453
2074,89904
7342,129703
25187,61371
24853,67047
23225,182303
2280,109459
20827,64091
25691,5000
5705,58523
7553,76785
12063,27241
11607,72601
22038,5000
26598,43911
14600,15548
20945,23286
1310,5000
28352,65386
23682,127880
21383,5000
675,55351
21313,36158
21914,26069
17453,119996
20344,95348
1878,71781
6465,77269
15925,5000
10062,92057
19376,25813
6384,43083
15976,124740
16564,29899
15565,16689
12385,45260
14403,46089
2527,25786
1650,30027
4602,71236
17686,95516
19881,5000
15035,107489
24505,93354
12494,48474
20459,68483
2694,147220
10564,5000
13175,155480
13140,59322
320,127917
10043,110578
15774,52654
2475,89037
9372,5000
28818,5000
26145,110487
8747,5000
134,161880
24461,168397
28797,5000
3160,9064
23934,88238
28765,69937
13152,25862
8243,65180
11392,81259
20136,59583
24211,28170
2784,60240
17808,19916
18763,5000
8494,69856
7101,5000
29423,55255
9565,38744
5027,106555
13590,85651
1353,30445
19906,55920
8072,52058
17401,71286
20600,5000
29813,30838
6477,33159
11780,25745
19236,75544
20999,62244
7423,67338
6353,58528
2774,94938
24088,92579
3061,181223
4339,88220
9751,70314
9778,119682
7636,5000
20770,94651
15796,44603
5929,12249
9272,5000
11069,11125
8569,161529
15635,114847
13870,52384
20495,5000
19545,5000
15432,15741
1746,141851
21771,125686
11199,76559
11238,63172
21598,101858
2420,79506
28977,30888
249,5000
19113,5000
21013,47894
10549,5000
6828,167753
3231,101699
10690,91243
18754,5000
23458,7530
27449,124273
4493,5000
1476,31941
19138,24707
7807,23569
24469,8095
11673,52376
10715,123703
18198,5000
20489,5000
23707,5000
22194,56370
29856,97647
20440,29200
16649,61726
18719,137390
13945,155945
2427,34699
4992,47701
28096,40069
22934,80910
615,86396
5503,141141
2371,101115
9260,53316
25493,37278
22020,16376
8120,5000
7046,5000
12229,5000
16295,18997
14519,110158
23048,5000
12421,133109
7121,65311
11655,73332
22212,45905
21095,122489
27926,9651
4412,90898
7740,5000
8052,27000
6456,48249
27770,46087
24360,29527
4523,28245
724,61703
29522,5000
12979,78336
20456,140137
14319,35780
11217,156767
17456,5000
17916,122271
8581,35353
23277,139639
3943,5000
29744,145482
28629,79468
6358,5000
23115,61507
17159,70582
15566,69378
3709,63566
23737,69253
9403,96546
19330,5000
29396,128825
24075,76897
6113,60810
26067,144909
18224,45855
11704,13363
11389,88245
8152,15009
23572,91669
13094,28569
10324,190679
28573,132354
11665,65551
9057,75291
22174,74228
17726,41914
10435,72000
21930,5000
9133,5000
8640,5000
20297,107687
17656,22913
19263,47714
26728,84733
9473,5000
7103,29941
26272,99683
8593,5000
9182,5000
10284,30166
1727,48369
3012,176930
13341,143400
25363,5000
21501,5000
8653,88635
11706,134594
14063,49160
26509,5000
5317,68503
16542,18714
1866,5000
5871,110816
29428,102933
13442,48083
20756,8564
24002,110220
23442,109580
10899,6089
10420,5000
20729,5000
17123,30592
6082,73356
23399,44995
18432,36212
4653,51592
1623,5000
17674,58714
28599,157842
3184,88087
5029,25836
7603,46303
20059,24573
2805,55582
27191,85034
16136,66688
10685,132667
29309,126435
11680,144188
24673,134345
23926,89685
21091,52555
1580,107281
15174,87758
27254,5000
24606,5000
23485,5000
25584,15077
871,96111
20774,78536
19301,137682
29769,57893
11468,106025
18219,29313
23206,29301
13790,26704
4022,5000
15157,33195
12782,90662
23535,44321
22150,5000
23118,158320
621,113987
17551,85502
23158,56299
19699,5000
14751,5000
5384,134212
19044,5000
10817,57254
17397,5000
549,5000
25714,160290
3990,75017
13655,86153
25366,5000
17676,59333
24156,97838
26409,79340
17664,85787
16154,102659
20415,57469
4026,107584
9469,54846
24029,103491
28390,79829
26422,7846
24831,42430
21334,86679
14342,19370
13753,5000
2404,80397
13093,5000
14944,5000
5378,83411
19724,32520
1322,31227
7472,26293
25833,100699
12713,84271
5107,69427
22305,27200
11009,103647
29187,79132
12021,110366
16179,5000
4105,73319
6676,182229
19479,115929
13469,5269
6807,63099
9714,124599
10674,9525
20707,127703
15154,40775
12430,36328
14278,5000
21546,68146
23171,13217
9520,27843
23945,87042
4429,73926
29675,104154
6681,35145
23810,40245
9647,67992
12331,5000
16938,45633
17070,47881
11260,5000
2753,10638
26383,80623
11204,27327
10035,5000
520,121590
11305,54149
2850,76871
1597,5000
20331,126277
380,66113
3665,135972
13781,5000
5198,5000
29849,12019
6157,165854
19133,79319
16357,32970
2669,127327
17515,80746
10644,11177
5069,20114
2279,15202
15812,80051
13803,76514
771,37559
28643,22968
26017,77361
19638,161427
19729,5000
28319,32160
10424,87877
9992,134824
2438,49619
22751,50678
19791,30946
22540,45674
26680,122401
16063,5000
8857,17816
25514,121483
22236,191541
23701,45463
15764,207236
3241,80946
19002,24162
28186,10729
8462,5000
20835,122181
23443,7445
19902,18012
9301,5000
15554,5000
27052,5000
16942,5000
21924,138631
23734,146701
719,62561
9889,67640
17200,5000
14305,37041
16709,5000
15884,95013
12973,5000
9205,66034
8585,20575
1455,5000
27199,66518
16581,87440
18012,5000
12167,50864
18213,108530
3326,19818
23330,83029
28957,86207
10474,142936
16095,40656
6863,5000
4206,28890
19635,82135
7382,76597
6846,5537
23013,168688
12953,129122
4346,52807
18389,54142
12462,157357
1067,48123
5111,5000
1480,28592
1675,14698
24669,28981
20520,193708
3815,60852
28893,56363
14942,44495
12513,175489
2085,5000
21857,179050
3283,110471
9874,41238
21610,49493
29982,67812
5338,109163
10884,61178
1147,87660
17855,46259
2712,5000
7002,128481
10970,40929
21652,120140
26437,118650
28009,129669
1881,35584
21851,111733
27413,31061
12830,8376
21732,102228
6860,5000
26702,151230
27245,102161
5426,53103
15829,5535
15951,38338
26161,109771
18472,152501
16563,128368
13467,100630
21518,102533
11677,28343
27542,19986
16851,23843
18448,38432
28781,5000
2868,83153
24739,110415
8465,44557
22490,99141
10012,90613
23321,105767
15222,52916
19752,5000
12199,21994
22384,104973
13967,27067
18804,5000
26696,81413
14903,82805
5668,28900
11960,79034
11284,65700
8208,5000
2820,22886
28257,117859
15517,52462
10438,49309
3181,5000
23065,37003
29038,5000
22712,84957
23837,125525
6330,5000
29865,60791
1021,106909
10948,28806
6756,148206
12667,5000
10831,15426
16500,5000
4316,132638
27454,37264
27046,35572
7368,5000
7446,103192
768,162073
26938,56217
29008,5000
15342,15926
13864,8747
17316,6972
20449,6735
24643,5000
7730,20249
26169,99253
12320,37285
27142,63772
11672,5000
20611,160828
11484,68964
26251,89893
24829,55060
12864,5000
11081,29546
17773,84228
2450,33472
1163,142653
3375,5000
12835,5000
6058,89725
20572,213850
4006,138187
5993,5000
22465,90609
24252,25359
10085,110308
20828,22122
23393,68064
18241,5000
18163,107795
5154,27692
24566,119263
12408,7152
3282,22350
9940,88959
8563,53868
13561,180532
19650,9232
11565,173543
3684,62402
13435,71294
11129,97258
20702,160520
4661,90734
29525,14058
16160,48313
10281,41055
6913,33764
20840,38726
7403,81386
985,68122
1238,16828
15209,44459
15145,165694
26218,122520
8506,90659
13131,31352
28174,100555
3892,52263
6109,167440
13081,134917
783,24103
23060,93700
20439,119400
690,55924
4050,54713
6997,52399
5494,82330
9938,57357
11380,146360
6292,63675
23503,55590
23967,92172
23514,62435
27640,5000
16278,129026
4655,5000
28590,58901
565,78203
1424,146458
16258,71252
7993,92426
20526,109419
15104,103280
12787,43727
1626,5000
6208,106712
11436,22844
22525,72591
11268,146980
26750,5168
27385,68930
13280,147184
20933,113594
22078,11624
599,94025
29720,169433
14385,39207
22648,5000
11687,76453
18596,5000
15245,177517
26543,34658
6427,5000
3517,253076
7508,113330
15382,46739
5757,124421
4311,59515
26060,62006
14687,21597
3993,28335
137,35169
11784,20596
3630,122671
16693,5000
3749,5000
15890,88532
18071,45772
6045,8265
29490,5000
16391,71246
1581,78173
9579,5000
23555,85345
8021,5000
28389,95396
19563,95059
15386,49853
22940,146630
29893,130468
12282,5000
25005,5000
14568,92456
26232,63985
9521,122151
18765,72923
14458,52981
15678,70740
16770,6320
23525,69713
13927,69167
7763,80216
28029,53520
16400,6315
19932,5000
229,5000
17761,67537
5961,5000
26191,136065
16752,108882
5804,118423
594,5000
2488,10547
6352,131942
17405,53806
21175,152694
13748,160184
7017,13234
6258,13058
15613,146969
4157,34268
5762,85229
23266,128740
714,83556
7355,46121
12541,5000
17249,22757
17935,185819
25492,164212
3874,145276
20083,84512
2890,142413
28557,145381
28330,80452
21756,23129
5423,102506
13283,119343
7746,63577
17154,74810
21964,96337
29148,5000
29357,132975
18235,115780
3205,94228
15756,100089
8566,5000
14695,48277
28528,9907
3699,28459
3052,52865
19267,34762
13228,160913
25446,46738
2715,5000
23001,7154
14800,52887
20420,30941
2666,9784
9981,94119
448,120221
11839,5000
21447,140683
14666,129462
22123,94617
16,15756
15578,137310
11427,5000
29874,37443
2206,74995
11707,90545
15681,47791
13802,71856
23557,151678
119,125508
23227,69424
11564,34877
25153,5000
5499,132138
20844,5000
7190,14109
12132,48889
24096,159073
13174,15117
6381,82633
13613,34279
9493,130182
19560,88656
11448,85855
8730,5000
17983,60185
879,76639
19071,73453
20190,5000
17793,128038
25416,45736
24082,5000
11574,118343
6750,5000
27114,40538
27041,63847
2222,100974
5768,36181
12401,39126
19667,138708
24728,65806
11419,46598
21720,123660
16486,90022
23204,82571
25611,56859
5141,5000
18196,5000
8253,150588
22655,30926
29633,5000
11252,5000
29370,83171
27855,69964
25913,51819
2572,5624
4794,34887
7506,30751
24889,17460
16618,51012
20519,108785
10139,46621
14430,48058
8852,18810
26662,54599
17253,5000
22313,51192
9181,83218
25747,46953
1835,92061
12209,120416
25852,168742
3928,54694
24453,58155
25794,28614
1387,107568
25774,10108
14261,39312
13005,5000
26677,50988
22039,57692
3465,190588
5274,5000
15831,5000
23381,145070
20498,59675
27015,29660
225,66250
18928,197913
28543,88247
9335,82462
29401,80951
12518,5000
19161,102929
8186,5000
14562,5000
26504,98751
24897,72045
15935,95518
16996,160796
17335,160123
16664,51600
10633,57502
22831,39516
27589,122538
467,71568
13607,45459
23468,93520
5583,25896
10928,72937
7006,5000
10808,16918
25625,30867
17882,5000
3479,78855
29956,91589
4684,5000
2786,160559
14766,33386
10489,5000
25137,5000
17659,23862
24416,149544
5048,95661
5500,41762
21903,12206
583,5000
27857,5638
28939,92716
22469,7662
1794,123006
1023,5000
29143,113305
6656,20317
18372,94764
28313,133942
11168,75449
10147,94136
10025,82854
23806,120004
23427,56254
